0,1
0.07645909728048247,HFC23
0.05403611954101968,HFC236fa
0.04374778939949115,CH2Cl2
0.04267783666609314,HCFC22
0.04072509362215295,CO2
0.037816364491821096,CF4
0.03668453012709364,N20
0.03637365172212002,HFC32
0.03613658384594316,SO2F2
0.03347832074080164,CH4
0.033163042934130735,C2F6
0.032733257099322705,C3F8
0.03216748765760225,HFC227ea
0.03194870362565666,CFC113
0.03082298606212566,Halon2402
0.026274218932399424,CFC114
0.026011759172342965,CFC115
0.024882411642090794,NF3
0.02155022661988611,CCl4
0.021424145097577316,CHCl3
0.020163478214562054,CFC11
0.019836488446400808,HFC152a
0.019352562908030144,CH3Br
0.01875014662482264,HCFC142b
0.018561222573678867,c-C4F8
0.017808390569320643,HFC143a
0.017360331410202108,CFC12
0.01705213889481135,C7F16
0.016822468979282128,C6F14
0.016666924312233457,SF6
0.016407360531321323,C4F10
0.015900878292688766,C5F12
0.015699100963175498,Halon1301
0.01380672244516293,HFC365mfc
0.013805696118657045,C8F18
0.006576045589760649,CH3CCl3
0.00613183510044331,CH3Cl
0.003154944969092179,HFC125
0.002941160639825155,HFC4310mee
0.0017543359306872685,HFC134a
0.0013185860693483464,HCFC141b
0.0010155541363396328,HFC245fa
