0,1
0.1271362728829125,Halon1211
0.06745097828649754,HFC23
0.04518196175185825,HFC236fa
0.03735337068254851,HCFC22
0.03556523666935123,CO2
0.03377209404566782,C3F8
0.03375584602566457,SO2F2
0.03198668285574335,C2F6
0.031520716648002954,CH2Cl2
0.03086851826684474,HFC227ea
0.03067214144117134,HFC32
0.030405921688099385,N20
0.029545540171208143,CH4
0.028814843395836,CFC113
0.028316012808753743,CF4
0.025564066099966882,Halon2402
0.023118673610510457,NF3
0.020699798331869503,CHCl3
0.020070131771667225,HFC152a
0.01989600944422978,CH3Br
0.019811295216081642,CFC114
0.01929657304255458,CCl4
0.017795292087172503,C8F18
0.01628299025365846,CFC115
0.016032337149514395,CFC12
0.01596788784522828,CFC11
0.015831521665195827,Halon1301
0.01571737758917692,c-C4F8
0.014685302170108133,C6F14
0.014581356699687891,HCFC142b
0.014196162176842029,HFC365mfc
0.013980758046249736,C5F12
0.013403354581472812,HFC143a
0.013202009124009522,SF6
0.012938643670856622,C7F16
0.01161493457076272,C4F10
0.006345621733043125,CH3Cl
0.005785379127114607,CH3CCl3
0.004067533360000027,HFC125
0.0024069866471155884,HFC4310mee
0.001834509770716184,HFC134a
0.0015505261684203066,HCFC141b
0.0009768304266145125,HFC245fa
